SF Tab,Location,Notes,Suggested Action,RM Access,Explanation,Description,Dept. Responsible,Relationship,,,
First Name,Not Shown,,Keep,N,Part of the Contact verifcaition process( Contact Sheets),Self-explanatory,Correspondent Services,Directly related to CMT and contact sheets,,,
Last Name,Not Shown,,Keep,N,Part of the Contact verifcaition process( Contact Sheets),Self-explanatory,Correspondent Services,Directly related to CMT and contact sheets,,,
Account Name,Contact Detail,,Keep,N,,Correspondent that contact is associated with,Correspondent Services,FINRA related/ Replicates to CMT Web Security,,,
Email,Contact Detail,Email is primarily used for Notifications and Cases,Keep,N,Ties to CMT report disttibution,Self-explanatory,Correspondent Services,Directly related to CMT and contact sheets,,,
Email Opt Out,Contact Detail,,Keep,Y,,If the contact does not wish to receive PIN notices,Correspondent Services,Restricts mass emails (PIN notices),,,
Alternate Email,Contact Detail,,Remove,Y,,Self-explanatory,Correspondent Services,,,,
Addt'l Email,Contact Detail,,Remove,Y,,Self-explanatory,Correspondent Services,,,,
Contact Name,Contact Detail,,Keep,N,,System generated,Correspondent Services,Automatically generated,,,
Focus Group Invite,Contact Detail,,Remove,Y,,Designated on the contact sheet to be added to the invitation list,Correspondent Services,Directly related to contact sheets,,,
AutoNumber_Contact,Contact Detail,,Keep,,,Unique ID/Key for updates in contact data,Correspondent Services,Automatically generated,,,
Phone,Contact Detail,,Keep,Y,,Self-explanatory,Correspondent Services,Directly related to CMT and contact sheets,,,
Mobile,Contact Detail,,Keep,Y,,Self-explanatory,Correspondent Services,,,,
Fax,Contact Detail,,Keep,Y,,Self-explanatory,Correspondent Services,,,,
Home Phone,Contact Detail,,Keep,Y,,Self-explanatory,Correspondent Services,,,,
Pager,Contact Detail,,Remove,Y,,Self-explanatory,Correspondent Services,,,,
Status,Contact Detail,,Keep,N,Part of the Contact verifcaition process( Contact Sheets),Active/ Closed/ No Longer With Firm/ Suspended,Correspondent Services,Directly related to CMT and contact sheets,,,
Date Closed,Contact Detail,,Keep,Y,,Self-explanatory,,,,,
Auth. Trading Instrx,Contact Detail,,Keep,,,Y/N,,,,,
Do Not Replicate,Contact Detail,,Keep,N,,Y/N,Correspondent Services,Replicates to CMT,,,
Does the Contact have a P3 user id?,Entitlements,,Remove,N,,Y/N,Correspondent Services,Phase 3 related,,,
P3 Userid,Entitlements,,Remove,N,,Self-explanatory,Correspondent Services,Phase 3 related,,,
P3 User id (2nd),Entitlements,,Remove,N,,Self-explanatory,Correspondent Services,Phase 3 related,,,
P3 Web UI id,Entitlements,,Remove,N,,Self-explanatory,Correspondent Services,Phase 3 related,,,
Profile Id,Entitlements,,Remove,N,,P3 profile that the user falls under,Correspondent Services,Phase 3 related,,,
